OP_PROFIT_LOSS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER
800051,WN,Southwest Airlines Co.,D,2019,3
813015,DL,Delta Air Lines Inc.,D,2011,2
813669,WN,Southwest Airlines Co.,D,2017,3
816500.5,AA,American Airlines Inc.,D,2018,2
825043.9,UA,United Air Lines Inc.,D,2022,3
830575,WN,Southwest Airlines Co.,D,2016,4
835030.28,AA,American Airlines Inc.,D,2016,4
835818.91,UA,United Air Lines Inc.,D,2015,2
838683.52,UA,United Air Lines Inc.,D,2022,2
853646,DL,Delta Air Lines Inc.,D,2013,3
854935,DL,Delta Air Lines Inc.,D,2010,3
855518.47,AA,American Airlines Inc.,D,2015,4
868500,DL,Delta Air Lines Inc.,D,2017,4
870316.24,UA,United Air Lines Inc.,D,2016,2
885779.4,AA,American Airlines Inc.,D,2019,2
888518,DL,Delta Air Lines Inc.,D,2018,3
904397.02,UA,United Air Lines Inc.,D,2022,4
908783.06,UA,United Air Lines Inc.,D,2019,2
925356.54,AA,American Airlines Inc.,D,2017,3
925408,WN,Southwest Airlines Co.,D,2016,1
939208,DL,Delta Air Lines Inc.,D,2019,4
940166,WN,Southwest Airlines Co.,D,2019,2
945836,WN,Southwest Airlines Co.,D,2018,2
982236.71,UA,United Air Lines Inc.,D,2019,3
1009395,WN,Southwest Airlines Co.,D,2015,4
1017021,DL,Delta Air Lines Inc.,D,2015,1
1030351.74,UA,United Air Lines Inc.,D,2016,3
1034677.91,UA,United Air Lines Inc.,D,2015,3
1042929,DL,Delta Air Lines Inc.,D,2022,3
1044685,DL,Delta Air Lines Inc.,D,2014,2
1062926.3,AA,American Airlines Inc.,D,2016,2
1064297,DL,Delta Air Lines Inc.,D,2018,2
1069029,WN,Southwest Airlines Co.,D,2015,2
1072958.02,UA,United Air Lines Inc.,D,2017,2
1117581,WN,Southwest Airlines Co.,D,2022,2
1141120,DL,Delta Air Lines Inc.,D,2016,1
1152176,DL,Delta Air Lines Inc.,D,2017,3
1166758.39,AA,American Airlines Inc.,D,2016,3
1208665,WN,Southwest Airlines Co.,D,2015,3
1209595,DL,Delta Air Lines Inc.,D,2016,3
1212567,DL,Delta Air Lines Inc.,D,2022,4
1219614,WN,Southwest Airlines Co.,D,2017,2
1234402,DL,Delta Air Lines Inc.,D,2015,4
1251327,WN,Southwest Airlines Co.,D,2016,2
1277058,DL,Delta Air Lines Inc.,D,2019,3
1290228.1,AA,American Airlines Inc.,D,2022,4
1316658,DL,Delta Air Lines Inc.,D,2022,2
1337974,DL,Delta Air Lines Inc.,D,2015,3
1351099,DL,Delta Air Lines Inc.,D,2019,2
1351147.77,AA,American Airlines Inc.,D,2022,2
1379527.76,AA,American Airlines Inc.,D,2015,3
1391511.51,AA,American Airlines Inc.,D,2017,2
1451415,DL,Delta Air Lines Inc.,D,2017,2
1643838,DL,Delta Air Lines Inc.,D,2016,2
1649180,DL,Delta Air Lines Inc.,D,2015,2
